-11.7831	-47.0182	1
-14.6168	-46.1004	2
-6.73732	-49.1194	3
-8.38523	-47.5605	4
-2.12701	-53.5986	5
-3.1813	-51.0699	6
-18.3961	-44.5139	7
-25.5318	-44.4558	8
-33.7957	-46.0329	9
-7.78286	-45.3062	10
-11.9287	-43.4673	11
0.156604	-61.3538	12
0.367638	-57.4616	13
-1.09168	-49.2909	14
-2.68866	-46.0206	15
-41.6802	-47.401	16
-50.3832	-49.7075	17
3.55517	-56.1331	18
3.46218	-52.0995	19
-11.4346	-39.6141	20
-18.1151	-38.3928	21
-27.1539	-41.0034	22
-0.577201	-42.8257	23
-3.97026	-38.8085	24
-3.35872	-71.4982	25
0.04591	-66.8829	26
7.19266	-50.0515	27
6.17437	-45.2448	28
4.86664	-65.8992	29
6.95635	-60.9575	30
-36.1848	-42.1394	31
-44.6194	-45.2811	32
12.3555	-59.7559	33
12.6297	-54.1428	34
-1.73854	-33.8304	35
-8.60506	-30.9353	36
-17.36	-33.2464	37
-58.671	-51.7309	38
-67.3791	-54.3707	39
11.2717	-43.1383	40
11.0359	-37.8791	41
7.07825	-33.3285	42
17.9687	-52.0795	43
16.5771	-46.3286	44
5.44333	-72.2283	45
13.4288	-71.7421	46
16.9247	-65.6972	47
-7.65514	-77.1091	48
-1.18663	-76.755	49
-53.2391	-47.2893	50
-61.8486	-50.4906	51
24.6768	-64.2442	52
24.5951	-56.6553	53
20.184	-43.1647	54
17.4506	-38.1531	55
-25.5068	-32.5108	56
-35.7617	-35.5236	57
-42.3783	-39.8856	58
20.5657	-33.9927	59
17.639	-29.1912	60
10.5598	-28.3478	61
30.3111	-52.2196	62
27.3509	-45.4917	63
-22.082	-84.0567	64
-15.1327	-81.3014	65
8.86734	-22.5426	66
0.306985	-21.2608	67
-7.53995	-24.9564	68
-14.8792	-23.9716	69
-23.4723	-27.3747	70
30.924	-40.4758	71
26.8282	-34.0235	72
16.007	-78.9307	73
25.8118	-78.1308	74
30.5656	-71.3815	75
-50.3183	-42.0928	76
-57.8446	-45.6952	77
27.9986	-28.9701	78
21.8448	-26.2334	79
39.3281	-55.4597	80
42.7879	-48.701	81
38.8221	-42.1066	82
40.6575	-71.8136	83
44.1016	-63.5648	84
21.4076	-20.6325	85
14.7467	-18.8787	86
-6.24699	-83.2591	87
-0.696652	-86.4667	88
9.55067	-84.8002	89
42.4334	-36.467	90
40.2307	-30.3949	91
33.434	-26.681	92
14.8854	-12.9058	93
7.12102	-11.6584	94
0.552343	-15.4781	95
33.4105	-20.9458	96
26.9173	-18.0154	97
-8.22117	-15.041	98
-15.0533	-18.7064	99
53.9816	-65.4299	100
